İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Yakıt Tipi,Yetkili Ofis,Cephe,Site İçerisinde,Depozito,Krediye Uygunluk,Tapu Durumu,Takas
106678-962,31-03-2023,None,None,2 + 1,"
                          145 m2
                        ",1. Kat,3 Yaşında,Merkezi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,,,,
70060-26440,31-03-2023,None,None,1 + 1,"
                          65 m2
                        ",1. Kat,Sıfır Bina,Merkezi (Pay Ölçer),5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,1.250 TL,Doğalgaz,,"Güney, Doğu, Batı",,,,,
125785-310,31-03-2023,None,None,3 + 1,"
                          135 m2
                        ",10. Kat,10 Yaşında,Kombi,12 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,9.000 TL,,,
30863-8613,31-03-2023,None,None,3 + 1,"
                          110 m2
                        ",4. Kat,27 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,20.000 TL,,,
124862-394,31-03-2023,None,None,3 + 1,"
                          130 m2
                        ",21 ve üzeri,12 Yaşında,Merkezi (Pay Ölçer),27 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,1.705 TL,Doğalgaz,Evet,,,23.000 TL,,,
119290-104,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",2. Kat,35 Yaşında,Kombi,3 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Doğu,,12.000 TL,,,
78733-924,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",3. Kat,30 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Güney,,10.000 TL,,,
3147-3017,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",Giriş Katı,16 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,,"Doğu, Batı",,25.000 TL,,,
8525-55020,31-03-2023,None,None,3 + 1,"
                          280 m2
                        ",2. Kat,33 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,2.000 TL,Doğalgaz,Evet,Güney,,100.000 TL,,,
15097-2137,31-03-2023,None,None,3 + 1,"
                          120 m2
                        ",6. Kat,33 Yaşında,Merkezi,8 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Batı",,14.500 TL,,,
4535-6169,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",1. Kat,25 Yaşında,Kombi,3 Katlı,,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,,"Güney, Doğu",,12.000 TL,,,
4336-1319,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",2. Kat,15 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,Doğalgaz,Evet,"Doğu, Batı",,11.000 TL,,,
53165-27633,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",2. Kat,Sıfır Bina,Kombi,8 Katlı,,1,Betonarme,Sıfır,Boş,,Doğalgaz,,Güney,,,,,
8322-2469,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Çatı Katı,35 Yaşında,Doğalgaz Sobası,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Güney,,7.000 TL,,,
8272-25834,31-03-2023,None,None,2 + 1,"
                          127 m2
                        ",5. Kat,4 Yaşında,Merkezi,8 Katlı,Eşyalı Değil,2,,,Boş,,,,"Güney, Batı",Nisbetiye On,,Uygun değil,,
104677-929,31-03-2023,None,None,3 + 1,"
                          180 m2
                        ",En Üst Kat,Sıfır Bina,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,50 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı",,30.000 TL,,,
77755-1175,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",21 ve üzeri,5 Yaşında,Kombi,42 Katlı,Eşyalı,1,Betonarme,,Kiracılı,2.800 TL,Doğalgaz,Evet,,,,,,
65965-14979,31-03-2023,None,None,1 + 1,"
                          70 m2
                        ",2. Kat,8 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,Sinpaş Liva Turkuaz,,,,
9636-16217,31-03-2023,None,None,3 + 1,"
                          200 m2
                        ",3. Kat,12 Yaşında,Kombi,5 Katlı,Eşyalı,3,Çelik,İkinci El,Boş,4.000 TL,Doğalgaz,Evet,"Güney, Doğu",,,,,
52307-3848,31-03-2023,None,None,1 + 1,"
                          58 m2
                        ",Yüksek Giriş,14 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,60 TL,Doğalgaz,Evet,"Güney, Doğu",,8.500 TL,,,
121012-407,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Yüksek Giriş,15 Yaşında,Merkezi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,,,2 TL,,,
103214-859,31-03-2023,None,None,3 + 1,"
                          100 m2
                        ",3. Kat,32 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Doğu, Batı",,6.500 TL,,,
1599-10288,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",4. Kat,34 Yaşında,Kombi,5 Katlı,,1,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,Evet,Güney,,,,,
41097-1029,31-03-2023,None,None,1 + 1,"
                          80 m2
                        ",2. Kat,41 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
110844-4511,31-03-2023,None,None,1 + 1,"
                          55 m2
                        ",3. Kat,3 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,100 TL,Doğalgaz,Evet,Güney,,50.000 TL,,,
7374-3636,31-03-2023,None,None,3 + 1,"
                          140 m2
                        ",2. Kat,40 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,Doğalgaz,,,,,,,
76675-703,31-03-2023,None,None,3 + 1,"
                          130 m2
                        ",4. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,75 TL,Doğalgaz,Evet,Güney,,10.000 TL,,,
46572-9949,31-03-2023,None,None,1 + 1,"
                          65 m2
                        ",Kot 3,6 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,175 TL,Doğalgaz,Evet,"Güney, Batı",,15.000 TL,,,
80557-682,31-03-2023,None,None,2 + 1,"
                          85 m2
                        ",Ara Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,35 TL,Doğalgaz,Evet,"Kuzey, Güney",,10.000 TL,,,
131558-11,31-03-2023,None,None,2 + 1,"
                          110 m2
                        ",Kot 3,25 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,18.000 TL,,,
57705-2382,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",5. Kat,90 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,10.000 TL,,,
133839-28,31-03-2023,None,None,3 + 1,"
                          150 m2
                        ",En Üst Kat,27 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Güney,,,,,
118729-178,31-03-2023,None,None,2 + 1,"
                          120 m2
                        ",1. Kat,Sıfır Bina,Kombi,6 Katlı,Eşyalı Değil,2,,Sıfır,Boş,,Doğalgaz,Evet,,,40.000 TL,,,
76342-6024,31-03-2023,None,None,3 + 1,"
                          110 m2
                        ",4. Kat,28 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,Evet,Batı,,15.000 TL,,,
17780-18766,31-03-2023,None,None,4 + 1,"
                          250 m2
                        ",2. Kat,Sıfır Bina,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,,,,,,
30863-8702,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",1. Kat,33 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney",,7.500 TL,,,
77755-871,31-03-2023,None,None,1 + 1,"
                          65 m2
                        ",Giriş Katı,7 Yaşında,Kombi,28 Katlı,Eşyalı,1,Betonarme,,Kiracılı,1.960 TL,Doğalgaz,Evet,,,,,,
44577-1573,31-03-2023,None,None,1 + 1,"
                          70 m2
                        ",2. Kat,12 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,,,,,,
53165-27601,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",1. Kat,35 Yaşında,Kombi,4 Katlı,,1,,,Boş,,Doğalgaz,,,,,,,
1599-10339,31-03-2023,None,None,3 + 1,"
                          105 m2
                        ",2. Kat,28 Yaşında,Kombi,4 Katlı,,1,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,Evet,Güney,,,,,
87663-372,31-03-2023,None,None,1 + 1,"
                          65 m2
                        ",Giriş Katı,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,,Kiracılı,100 TL,Doğalgaz,Evet,Doğu,,8.000 TL,,,
5632-7871,31-03-2023,None,None,3 + 1,"
                          135 m2
                        ",4. Kat,31 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,,,Boş,130 TL,,,Güney,,,,,
133496-12,31-03-2023,None,None,4 + 1,"
                          150 m2
                        ",3. Kat,32 Yaşında,Merkezi,7 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,700 TL,Doğalgaz,Evet,Doğu,,30.000 TL,,,
7374-3655,31-03-2023,None,None,2 + 1,"
                          75 m2
                        ",5. Kat,13 Yaşında,Kombi,6 Katlı,,1,Betonarme,,Boş,375 TL,Doğalgaz,,,,,,,
110844-4484,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",3. Kat,10 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Güney, Batı",,12.000 TL,,,
65704-8296,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Yüksek Giriş,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,Evet,Güney,,12.000 TL,,,
1042-2183,31-03-2023,None,None,1 + 1,"
                          75 m2
                        ",2. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
121012-437,31-03-2023,None,None,2 + 1,"
                          70 m2
                        ",13. Kat,3 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,Sinpaş Finans Şehir,,,,
13402-102312,31-03-2023,None,None,1 + 0,"
                          47 m2
                        ",8. Kat,Sıfır Bina,Merkezi (Pay Ölçer),30 Katlı,Eşyalı Değil,1,,Sıfır,Boş,,,Evet,,,,,,
128054-192,31-03-2023,None,None,2 + 1,"
                          120 m2
                        ",5. Kat,23 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,Güney,,8.000 TL,,,
89328-17316,31-03-2023,None,None,3 + 1,"
                          185 m2
                        ",11. Kat,4 Yaşında,Merkezi (Pay Ölçer),22 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
2431-7307,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",3. Kat,40 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,15.000 TL,,,
6655-2600,31-03-2023,None,None,1 + 1,"
                          80 m2
                        ",3. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,,,Boş,,Doğalgaz,Evet,,,8.000 TL,,,
109278-183,31-03-2023,None,None,3 + 1,"
                          120 m2
                        ",5. Kat,28 Yaşında,Kombi,6 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,Doğu,,10.000 TL,,,
4779-3335,31-03-2023,None,None,3 + 1,"
                          150 m2
                        ",1. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.000 TL,Doğalgaz,Evet,Güney,Maslak 89 Sitesi,45.000 TL,,,
123795-495,31-03-2023,None,None,2 + 1,"
                          110 m2
                        ",1. Kat,50 Yaşında,Merkezi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.000 TL,Doğalgaz,Evet,,,25.000 TL,,,
26073-2894,31-03-2023,None,None,3 + 1,"
                          180 m2
                        ",7. Kat,20 Yaşında,Kombi,10 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,250 TL,Doğalgaz,Evet,"Güney, Doğu",,25.000 TL,,,
84999-63,31-03-2023,None,None,3 + 1,"
                          130 m2
                        ",Ara Kat,21 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu",,17.500 TL,,Kat Mülkiyeti,
1599-10349,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",En Üst Kat,38 Yaşında,Kombi,5 Katlı,,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,Evet,"Kuzey, Doğu",,,,,
4497-3786,31-03-2023,None,None,1 + 1,"
                          70 m2
                        ",4. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı,1,,,Boş,,,,,,8.500 TL,,,
106678-949,31-03-2023,None,None,3 + 1,"
                          185 m2
                        ",14. Kat,3 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,,2.800 TL,,Evet,"Güney, Doğu, Batı",Avenue İstanbul Rezidans,,,,
73688-831,31-03-2023,None,None,2 + 1,"
                          75 m2
                        ",1. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,Doğalgaz,Evet,Güney,,9.000 TL,,,
1042-2181,31-03-2023,None,None,2 + 1,"
                          85 m2
                        ",3. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
71322-697,31-03-2023,None,None,3 + 1,"
                          140 m2
                        ",En Üst Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,,,,
40554-748,31-03-2023,None,None,4 + 2,"
                          240 m2
                        ",4. Kat,21 Yaşında,Kombi,4 Katlı,Eşyalı Değil,3,,,Boş,470 TL,,,"Doğu, Batı",,,Uygun değil,,
9979-1387,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",Yarı Bodrum,40 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,Doğalgaz,,"Güney, Doğu, Batı",,16.000 TL,,,
692250-866,31-03-2023,None,None,1 + 0,"
                          35 m2
                        ",6. Kat,1 Yaşında,Klima,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Elektrik,Evet,"Doğu, Batı",,20.000 TL,,,
124165-660,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",3. Kat,30 Yaşında,Merkezi,6 Katlı,Eşyalı Değil,1,Betonarme,,Belirtilmemiş,500 TL,Doğalgaz,Evet,Güney,,,,,
53165-27623,31-03-2023,None,None,3 + 1,"
                          145 m2
                        ",1. Kat,35 Yaşında,Merkezi,3 Katlı,,1,Betonarme,İkinci El,Boş,,Doğalgaz,,Güney,,,,,
1361-16967,31-03-2023,None,None,1 + 1,"
                          50 m2
                        ",1. Kat,3 Yaşında,Klima,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,400 TL,Doğalgaz,Evet,Doğu,,37.000 TL,,,
110844-4578,31-03-2023,None,None,2 + 1,"
                          75 m2
                        ",Teras Katı,Sıfır Bina,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,60 TL,Doğalgaz,Evet,Güney,,40.000 TL,,,
134057-34,31-03-2023,None,None,1 + 1,"
                          100 m2
                        ",Ara Kat,25 Yaşında,Merkezi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,340 TL,Doğalgaz,,Güney,,17.000 TL,,,
136567-18,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",Yüksek Giriş,10 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,14.000 TL,,,
69537-77722,31-03-2023,None,None,2 + 1,"
                          95 m2
                        ",1. Kat,16 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,"Güney, Doğu, Batı",,,,,
34488-4937,31-03-2023,None,None,1 + 1,"
                          80 m2
                        ",4. Kat,20 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,Doğalgaz,Evet,,,11.500 TL,,,
122804-95,31-03-2023,None,None,3 + 1,"
                          150 m2
                        ",1. Kat,25 Yaşında,Kombi,5 Katlı,,2,,,Kiracılı,,,,,,15.000 TL,,,
80027-1198,31-03-2023,None,None,1 + 0,"
                          50 m2
                        ",3. Kat,25 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,Doğalgaz,,,,10.000 TL,,,
2588-2503,31-03-2023,None,None,2 + 1,"
                          110 m2
                        ",3. Kat,40 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
123075-1575,31-03-2023,None,None,1 + 1,"
                          60 m2
                        ",3. Kat,50 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Kagir,Sıfır,Boş,,Doğalgaz,Evet,,,,,,
65704-8280,31-03-2023,None,None,2 + 1,"
                          80 m2
                        ",3. Kat,30 Yaşında,Kombi,5 Katlı,,2,Betonarme,İkinci El,Boş,40 TL,Doğalgaz,Evet,Güney,,15.000 TL,,,
31303-139746,31-03-2023,None,None,2 + 1,"
                          82 m2
                        ",2. Kat,26 Yaşında,Klima,3 Katlı,Eşyalı,1,,,Boş,,,,"Güney, Doğu, Batı",,,,,
33713-3918,30-03-2023,None,None,2 + 1,"
                          145 m2
                        ",7. Kat,20 Yaşında,Merkezi,9 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,Doğalgaz,,"Kuzey, Güney, Doğu, Batı",,,,,
4355-132881,31-03-2023,None,None,2 + 1,"
                          100 m2
                        ",4. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,Doğalgaz,Evet,"Doğu, Batı",,26.000 TL,,,
109456-718,30-03-2023,None,None,2 + 1,"
                          75 m2
                        ",14. Kat,4 Yaşında,Kombi,21 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,,,,,,
136778-11,30-03-2023,None,None,2 + 1,"
                          95 m2
                        ",11. Kat,1 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.000 TL,Doğalgaz,Evet,"Kuzey, Güney, Doğu, Batı","Demir Country Sitesi (İstanbul, Beylikdüzü, Kavaklı)",31.000 TL,,,
4369-38480,31-03-2023,None,None,2 + 1,"
                          90 m2
                        ",5. Kat,1 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,,,Boş,,,,"Kuzey, Güney",,,Uygun değil,,
45254-3783,30-03-2023,None,None,3 + 1,"
                          110 m2
                        ",3. Kat,39 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,,"Güney, Doğu, Batı",,,,,
0-40556102,31-03-2023,None,None,3 + 1,"
                          220 m2
                        ",En Üst Kat,15 Yaşında,Kombi,7 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,1.650 TL,Doğalgaz,,Batı,Vista residenza,30.000 TL,,,
129688-175,30-03-2023,None,None,2 + 1,"
                          105 m2
                        ",1. Kat,21 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,,,Boş,25 TL,,,"Güney, Batı",,,Uygun değil,,
133124-51,31-03-2023,None,None,4 + 1,"
                          200 m2
                        ",1. Kat,20 Yaşında,Kombi,5 Katlı,,2,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney, Batı",,20.000 TL,,,
134182-42,30-03-2023,None,None,2 + 1,"
                          90 m2
                        ",Bahçe Katı,25 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney",,,,,
72542-3455,30-03-2023,None,None,3 + 1,"
                          120 m2
                        ",3. Kat,25 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,Doğalgaz,Evet,"Kuzey, Güney",,12.000 TL,,,
0-40552106,30-03-2023,None,None,3 + 1,"
                          170 m2
                        ",Ara Kat,6 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,Doğalgaz,,,,40.000 TL,,,
