İlan no,Son Güncelleme Tarihi,İlan Durumu,Konut Şekli,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Aidat,Depozito,Yakıt Tipi,Yetkili Ofis,Price,Cephe,Site İçerisinde,Krediye Uygunluk,Tapu Durumu,Takas
125781-286,31-03-2023,None,None,2 + 1,                          90 m2                        ,4. Kat,19 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,17.000 TL,Doğalgaz,Evet,8.500TL,Güney,,,,
6384-1889,31-03-2023,None,None,3 + 1,                          125 m2                        ,3. Kat,40 Yaşında,Merkezi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,,,Doğalgaz,Evet,15.000TL,,,,,
1358-3468,30-03-2023,None,None,2 + 1,                          120 m2                        ,Yarı Bodrum,50 Yaşında,Merkezi,8 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,2.910 TL,,Doğalgaz,Evet,35.000TL,"Güney, Batı",,,,
2908-9260,31-03-2023,None,None,3 + 1,                          120 m2                        ,4. Kat,5 Yaşında,Kombi,12 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,,,Doğalgaz,Evet,28.000TL,"Güney, Doğu, Batı",,,,
2848-2185,31-03-2023,None,None,1 + 3,                          180 m2                        ,3. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,14.000TL,"Kuzey, Batı",,,,
136928-11,01-04-2023,None,None,3 + 1,                          125 m2                        ,5. Kat,Sıfır Bina,Merkezi (Pay Ölçer),7 Katlı,Eşyalı Değil,2,,,Boş,750 TL,,,,18.000TL,"Kuzey, Doğu",Kiptaş Yeşilpınar Evleri,Uygun değil,,
38568-7207,01-04-2023,None,None,2 + 1,                          85 m2                        ,Yüksek Giriş,39 Yaşında,Merkezi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,200 TL,27.000 TL,Doğalgaz,Evet,14.100TL,"Güney, Doğu",,,,
126247-195,31-03-2023,None,None,2 + 1,                          110 m2                        ,Giriş Katı,25 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,8.000TL,Güney,,,,
64385-3453,28-03-2023,None,None,4 + 1,                          155 m2                        ,5. Kat,8 Yaşında,Kombi,8 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,1.100 TL,110.000 TL,Doğalgaz,Evet,55.000TL,"Güney, Doğu",,,,
2600-18077,27-03-2023,None,None,3 + 1,                          110 m2                        ,8. Kat,35 Yaşında,Merkezi,13 Katlı,Eşyalı Değil,1,Betonarme,,Boş,,56.000 TL,Doğalgaz,,28.000TL,"Güney, Doğu, Batı",,,,
51506-2879,27-03-2023,None,None,3 + 2,                          150 m2                        ,5. Kat,5 Yaşında,Kombi,5 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,15.000 TL,Doğalgaz,Evet,15.000TL,"Güney, Batı",,,,
93569-353,31-03-2023,None,None,2 + 1,                          90 m2                        ,Bahçe Katı,40 Yaşında,Merkezi (Pay Ölçer),6 Katlı,Eşyalı Değil,1,Betonarme,,Boş,580 TL,12.500 TL,Doğalgaz,Evet,12.500TL,,,,,
1075-6464,31-03-2023,None,None,5 + 1,                          330 m2                        ,En Üst Kat,18 Yaşında,Kombi,4 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,110.000TL,"Güney, Doğu",,,,
1599-10323,31-03-2023,None,None,3 + 1,                          115 m2                        ,2. Kat,34 Yaşında,Kombi,5 Katlı,,1,Betonarme,İkinci El,Boş,40 TL,,Doğalgaz,Evet,7.500TL,Güney,,,,
88546-3870,29-03-2023,None,None,2 + 1,                          85 m2                        ,2. Kat,10 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,100 TL,25.000 TL,Doğalgaz,Evet,12.500TL,"Güney, Doğu",,,,
120423-474,29-03-2023,None,None,3 + 1,                          105 m2                        ,4. Kat,33 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,1.800 TL,19.000 TL,Doğalgaz,Evet,19.000TL,"Doğu, Batı",,,,
125572-577,28-03-2023,None,None,2 + 1,                          100 m2                        ,14. Kat,Sıfır Bina,Merkezi (Pay Ölçer),30 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,,Doğalgaz,Evet,22.000TL,"Güney, Batı",,,,
64979-416,29-03-2023,None,None,2 + 1,                          100 m2                        ,4. Kat,Sıfır Bina,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,Sıfır,Boş,,55.000 TL,Doğalgaz,Evet,30.000TL,"Güney, Doğu",,,,
21278-9171,01-04-2023,None,None,2 + 1,                          95 m2                        ,3. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,10.000 TL,Doğalgaz,Evet,10.000TL,"Kuzey, Doğu",,,,
9544-218,27-03-2023,None,None,4 + 1,                          160 m2                        ,7. Kat,35 Yaşında,Kombi,8 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,17.000 TL,Doğalgaz,Evet,18.000TL,Güney,Şaşmaz Sitesi,,,
106678-949,01-04-2023,None,None,3 + 1,                          185 m2                        ,14. Kat,3 Yaşında,Merkezi (Pay Ölçer),14 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,,2.800 TL,,,Evet,30.000TL,"Güney, Doğu, Batı",Avenue İstanbul Rezidans,,,
1924-11220,28-03-2023,None,None,3 + 1,                          125 m2                        ,3. Kat,37 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,300 TL,15.000 TL,Doğalgaz,Evet,15.000TL,Kuzey,,,,
1158-2377,28-03-2023,None,None,3 + 1,                          110 m2                        ,5. Kat,29 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,350 TL,12.000 TL,Doğalgaz,Evet,12.000TL,"Güney, Batı",,,,
73540-9915,29-03-2023,None,None,1 + 1,                          70 m2                        ,Yüksek Giriş,4 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,13.750TL,"Güney, Doğu",,,,
121012-521,31-03-2023,None,None,2 + 1,                          95 m2                        ,1. Kat,30 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,50 TL,,Doğalgaz,Evet,15.500TL,"Güney, Doğu",,,,
62127-1153,28-03-2023,None,None,2 + 1,                          85 m2                        ,5. Kat,45 Yaşında,Kombi,5 Katlı,Eşyalı,1,Kagir,,Boş,80 TL,,Doğalgaz,Evet,26.000TL,"Kuzey, Güney, Doğu, Batı",,,,
120150-1828,28-03-2023,None,None,2 + 1,                          85 m2                        ,Giriş Katı,20 Yaşında,Kombi,8 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,300 TL,15.000 TL,Doğalgaz,,12.000TL,Batı,,,,
102518-104,29-03-2023,None,None,2 + 1,                          120 m2                        ,5. Kat,15 Yaşında,Kombi,6 Katlı,,1,Betonarme,İkinci El,,200 TL,18.000 TL,Doğalgaz,Evet,18.000TL,,,,,
7754-1507,31-03-2023,None,None,3 + 1,                          140 m2                        ,1. Kat,38 Yaşında,Kombi,3 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,50 TL,15.000 TL,Doğalgaz,,7.500TL,"Doğu, Batı",,,,
4502-1870,30-03-2023,None,None,2 + 1,                          110 m2                        ,4. Kat,35 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,40.000 TL,Doğalgaz,Evet,20.000TL,"Kuzey, Güney, Batı",,,,
65187-2687,31-03-2023,None,None,2 + 1,                          85 m2                        ,3. Kat,28 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,15.000 TL,Doğalgaz,Evet,13.000TL,"Doğu, Batı",,,,
2078-7983,27-03-2023,None,None,1 + 1,                          75 m2                        ,2. Kat,11 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,Boş,895 TL,,,,14.500TL,Kuzey,Dap Şelale Space Center,Uygun değil,,
4825-1242,26-03-2023,None,None,3 + 1,                          125 m2                        ,9. Kat,22 Yaşında,Merkezi,10 Katlı,Eşyalı,1,Betonarme,İkinci El,,1.000 TL,21.000 TL,Doğalgaz,Evet,21.000TL,Batı,,,,
77755-1874,01-04-2023,None,None,3 + 1,                          168 m2                        ,2. Kat,9 Yaşında,Kombi,3 Katlı,Eşyalı,2,Betonarme,,Kiracılı,3.500 TL,,Doğalgaz,Evet,36.990TL,,,,,
68305-1660,27-03-2023,None,None,2 + 1,                          75 m2                        ,6. Kat,2 Yaşında,Kombi,6 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,10.000 TL,Doğalgaz,Evet,10.000TL,"Kuzey, Güney, Doğu, Batı",,,,
66056-8103,27-03-2023,None,None,5 + 2,                          300 m2                        ,4. Kat,20 Yaşında,Merkezi,4 Katlı,Eşyalı,3,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,35.000TL,,,,,
109456-716,30-03-2023,None,None,3 + 1,                          110 m2                        ,4. Kat,15 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,13.000TL,,,,,
80635-759,28-03-2023,None,None,2 + 1,                          80 m2                        ,4. Kat,40 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,20.000 TL,Doğalgaz,Evet,10.000TL,"Güney, Batı",,,,
692250-874,01-04-2023,None,None,1 + 1,                          55 m2                        ,Yüksek Giriş,15 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,10.000 TL,Doğalgaz,Evet,9.000TL,"Güney, Doğu",,,,
1042-2187,01-04-2023,None,None,3 + 1,                          135 m2                        ,3. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,,,,Doğalgaz,Evet,16.500TL,,,,,
1315-4910,01-04-2023,None,None,1 + 1,                          56 m2                        ,4. Kat,28 Yaşında,Merkezi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,950 TL,18.000 TL,Doğalgaz,Evet,9.000TL,Doğu,,,,
30608-4797,30-03-2023,None,None,1 + 1,                          70 m2                        ,4. Kat,11 Yaşında,Merkezi (Pay Ölçer),9 Katlı,Eşyalı Değil,1,,,Boş,1.5 TL,,,,12.500TL,Güney,Aqua City 2010,Uygun değil,,
16521-1627,31-03-2023,None,None,2 + 1,                          130 m2                        ,7. Kat,31 Yaşında,Merkezi (Pay Ölçer),7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,750 TL,,Doğalgaz,Evet,15.000TL,"Kuzey, Güney, Doğu, Batı",Site 59 Sitesi,,,
17652-1186,28-03-2023,None,None,1 + 1,                          55 m2                        ,10. Kat,30 Yaşında,Merkezi,14 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,30.000 TL,Doğalgaz,Evet,15.000TL,Kuzey,,,,
124037-624,27-03-2023,None,None,2 + 1,                          85 m2                        ,5. Kat,Sıfır Bina,Merkezi (Pay Ölçer),6 Katlı,Eşyalı,1,Betonarme,Sıfır,Boş,,25.000 TL,Doğalgaz,Evet,25.000TL,"Güney, Doğu",,,,
69372-1048,27-03-2023,None,None,2 + 1,                          130 m2                        ,5. Kat,15 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,7.000 TL,Doğalgaz,Evet,7.000TL,"Güney, Doğu, Batı",hayır,,,
31290-1846,30-03-2023,None,None,1 + 1,                          75 m2                        ,9. Kat,15 Yaşında,Merkezi (Pay Ölçer),15 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,2.000 TL,36.000 TL,Doğalgaz,Evet,18.400TL,"Kuzey, Doğu",,,,
31474-197,30-03-2023,None,None,1 + 1,                          45 m2                        ,Ara Kat,35 Yaşında,Klima,6 Katlı,Eşyalı,1,,,,,,Elektrik,Evet,25.000TL,,,,,
1243-1128,29-03-2023,None,None,3 + 1,                          125 m2                        ,15. Kat,26 Yaşında,Merkezi (Pay Ölçer),18 Katlı,Eşyalı Değil,1,,,Boş,1.4 TL,,,,17.000TL,Doğu,Atakent 2. Etap,Uygun değil,,
71877-1057,27-03-2023,None,None,2 + 1,                          90 m2                        ,5. Kat,25 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,14.000 TL,Doğalgaz,,14.000TL,"Güney, Doğu",,,,
114219-451,29-03-2023,None,None,3 + 1,                          110 m2                        ,3. Kat,5 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,,,Kiracılı,,,,,30.000TL,"Güney, Doğu, Batı",,Uygun değil,,
47388-1586,28-03-2023,None,None,1 + 1,                          45 m2                        ,3. Kat,5 Yaşında,Kombi,6 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,300 TL,,Doğalgaz,Evet,19.500TL,,,,,
4753-16511,31-03-2023,None,None,4 + 1,                          240 m2                        ,Bahçe Katı,20 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,28.000TL,"Doğu, Batı",,,,
3448-14117,30-03-2023,None,None,3 + 1,                          130 m2                        ,4. Kat,30 Yaşında,Merkezi,14 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,,38.000 TL,Doğalgaz,Evet,19.000TL,,,,,
36118-15973,31-03-2023,None,None,2 + 1,                          100 m2                        ,Yüksek Giriş,30 Yaşında,Kombi,12 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,400 TL,28.000 TL,Doğalgaz,Evet,12.500TL,"Kuzey, Doğu, Batı",Sandoz Sitesi,,,
100071-910,31-03-2023,None,None,4 + 2,                          180 m2                        ,En Üst Kat,Sıfır Bina,Kombi,5 Katlı,Eşyalı Değil,2,,Sıfır,Boş,,30.000 TL,Doğalgaz,Evet,15.500.000TL,"Güney, Doğu",,,,
4387-1441,30-03-2023,None,None,3 + 1,                          90 m2                        ,Bahçe Katı,29 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,,300 TL,170.006 TL,Doğalgaz,Evet,135.000TL,"Kuzey, Doğu, Batı",,,,
125785-310,31-03-2023,None,None,3 + 1,                          135 m2                        ,10. Kat,10 Yaşında,Kombi,12 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,9.000 TL,Doğalgaz,Evet,9.000TL,Güney,,,,
1172-186451,27-03-2023,None,None,5 + 1,                          260 m2                        ,En Üst Kat,30 Yaşında,Merkezi (Pay Ölçer),2 Katlı,,2,Betonarme,İkinci El,Boş,1.300 TL,220.000 TL,Doğalgaz,Evet,110.000TL,,,,,
117700-205,29-03-2023,None,None,1 + 1,                          85 m2                        ,3. Kat,50 Yaşında,Kombi,7 Katlı,Eşyalı,1,Betonarme,İkinci El,Kiracılı,50 TL,9.000 TL,Doğalgaz,Evet,9.000TL,Kuzey,,,,
25938-433,31-03-2023,None,None,1 + 1,                          82 m2                        ,8. Kat,23 Yaşında,Merkezi,8 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,750 TL,15.000 TL,Doğalgaz,,7.500TL,"Güney, Batı",,,,
109941-70,01-04-2023,None,None,4 + 2,                          125 m2                        ,Bahçe Katı,25 Yaşında,Isıtma Yok,3 Katlı,Eşyalı,4,Betonarme,İkinci El,Boş,,,,,30.000TL,,,,,
4369-38450,30-03-2023,None,None,1 + 1,                          72 m2                        ,1. Kat,5 Yaşında,Yerden Isıtma,5 Katlı,Eşyalı,1,,,Kiracılı,1 TL,,,,16.750TL,"Kuzey, Batı",Sinpaş Kelebekia Sitesi,Uygun değil,,
73663-5469,30-03-2023,None,None,3 + 1,                          120 m2                        ,1. Kat,6 Yaşında,Kombi,3 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,50 TL,15.000 TL,Doğalgaz,Evet,10.000TL,"Güney, Batı",,,,
4355-132881,01-04-2023,None,None,2 + 1,                          100 m2                        ,4. Kat,35 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,75 TL,26.000 TL,Doğalgaz,Evet,13.000TL,"Doğu, Batı",,,,
1400-7852,01-04-2023,None,None,3 + 1,                          112 m2                        ,1. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Mülk Sahibi,200 TL,,Doğalgaz,Evet,22.000TL,,,,,
4245-6956,29-03-2023,None,None,2 + 1,                          90 m2                        ,Ara Kat,40 Yaşında,Kombi,3 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,67.000TL,,,,,
129423-178,28-03-2023,None,None,3 + 1,                          275 m2                        ,Giriş Katı,5 Yaşında,Kombi,7 Katlı,Eşyalı Değil,3,,,Boş,,,,,20.000TL,"Güney, Doğu",Alto Casa Residenza,Uygun değil,,
136567-19,31-03-2023,None,None,3 + 1,                          145 m2                        ,3. Kat,Sıfır Bina,Yerden Isıtma,5 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,32.000 TL,Doğalgaz,Evet,16.000TL,"Güney, Doğu, Batı",Evet (Site Adı Belirtilmemiş),,,
136782-9,28-03-2023,None,None,2 + 1,                          95 m2                        ,10. Kat,1 Yaşında,Merkezi (Pay Ölçer),10 Katlı,Eşyalı,2,Betonarme,Sıfır,Boş,,,Doğalgaz,Evet,24.850TL,"Güney, Batı",,,,
121077-409,31-03-2023,None,None,2 + 1,                          85 m2                        ,5. Kat,15 Yaşında,Kombi,7 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,100 TL,12.500 TL,Doğalgaz,Evet,12.500TL,"Güney, Doğu",,,,
5632-7863,26-03-2023,None,None,3 + 1,                          155 m2                        ,Giriş Katı,16 Yaşında,Kombi,9 Katlı,Eşyalı Değil,2,Betonarme,,,1.100 TL,60.000 TL,Doğalgaz,Evet,29.500TL,Güney,Demir Residence,,,
115060-609,26-03-2023,None,None,1 + 1,                          82 m2                        ,21 ve üzeri,Sıfır Bina,Merkezi (Pay Ölçer),30 Katlı,Eşyalı Değil,1,,,Boş,,,,,17.500TL,Güney,Oyak Dragos,Uygun değil,,
119921-454,26-03-2023,None,None,2 + 1,                          134 m2                        ,9. Kat,1 Yaşında,Yerden Isıtma,22 Katlı,Eşyalı Değil,2,,,Boş,2.1 TL,,,,30.000TL,"Güney, Doğu",Nida Park Küçükyalı,Uygun değil,,
85708-3051,31-03-2023,None,None,4 + 1,                          160 m2                        ,3. Kat,27 Yaşında,Kombi,4 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,30 TL,22.000 TL,Doğalgaz,Evet,11.000TL,"Kuzey, Güney, Doğu, Batı",,,,
4535-6200,29-03-2023,None,None,4 + 2,                          250 m2                        ,4. Kat,22 Yaşında,Kombi,4 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,200 TL,20.000 TL,Doğalgaz,,19.000TL,"Güney, Doğu",,,,
2507-1712,30-03-2023,None,None,3 + 1,                          240 m2                        ,En Üst Kat,31 Yaşında,Merkezi,6 Katlı,Eşyalı,2,Betonarme,İkinci El,Kiracılı,1.100 TL,180.000 TL,Doğalgaz,Evet,90.000TL,"Güney, Doğu, Batı",,,,
65108-2360,30-03-2023,None,None,3 + 1,                          130 m2                        ,Çatı Katı,23 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,50 TL,20.000 TL,Doğalgaz,Evet,15.000TL,"Kuzey, Güney, Doğu",,,,
2431-7355,27-03-2023,None,None,3 + 1,                          120 m2                        ,2. Kat,40 Yaşında,Merkezi,5 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,,18.000 TL,Doğalgaz,Evet,18.000TL,"Doğu, Batı",,,,
28284-3449,31-03-2023,None,None,4 + 1,                          260 m2                        ,Çatı Katı,16 Yaşında,Kombi,7 Katlı,,2,,,,,,Doğalgaz,Evet,43.000TL,Güney,,,,
135400-66,27-03-2023,None,None,3 + 1,                          185 m2                        ,4. Kat,18 Yaşında,Kombi,15 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,1 TL,15.000 TL,Doğalgaz,Evet,15.000TL,"Kuzey, Güney, Doğu, Batı",,,,
7005-1249,01-04-2023,None,None,3 + 1,                          140 m2                        ,6. Kat,35 Yaşında,Kombi,7 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,200 TL,15.000 TL,,Evet,12.000TL,"Kuzey, Batı",,,,
104642-2101,26-03-2023,None,None,2 + 1,                          85 m2                        ,3. Kat,50 Yaşında,Kombi,5 Katlı,Eşyalı,1,,,Boş,,,Doğalgaz,Evet,25.000TL,"Güney, Batı",,,,
22543-3410,01-04-2023,None,None,4 + 1,                          185 m2                        ,5. Kat,43 Yaşında,Merkezi,13 Katlı,Eşyalı Değil,2,Betonarme,İkinci El,Boş,1.650 TL,56.000 TL,Doğalgaz,Evet,28.000TL,"Kuzey, Güney, Batı",,,,
31383-7541,01-04-2023,None,None,5 + 1,                          330 m2                        ,3. Kat,18 Yaşında,Yerden Isıtma,4 Katlı,Eşyalı Değil,3,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,110.000TL,Güney,,,,
45254-3767,26-03-2023,None,None,3 + 1,                          120 m2                        ,2. Kat,36 Yaşında,Merkezi (Pay Ölçer),12 Katlı,Eşyalı Değil,2,,İkinci El,Boş,500 TL,13.500 TL,Doğalgaz,,13.000TL,"Güney, Doğu, Batı",,,,
57705-2381,29-03-2023,None,None,2 + 1,                          95 m2                        ,5. Kat,30 Yaşında,Kombi,5 Katlı,Eşyalı Değil,1,Betonarme,İkinci El,Boş,30 TL,10.000 TL,Doğalgaz,Evet,10.000TL,Güney,,,,
136449-26,30-03-2023,None,None,5 + 2,                          370 m2                        ,4. Kat,5 Yaşında,Kombi,4 Katlı,Eşyalı Değil,4,Betonarme,İkinci El,Boş,,,Doğalgaz,Evet,152.000TL,"Güney, Doğu, Batı",,,,
133252-55,30-03-2023,None,None,3 + 1,                          180 m2                        ,Ara Kat,Sıfır Bina,Yerden Isıtma,9 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,,,Elektrik,Evet,50.000TL,"Güney, Doğu",,,,
26546-4879,31-03-2023,None,None,3 + 1,                          175 m2                        ,4. Kat,21 Yaşında,Kombi,11 Katlı,Eşyalı Değil,1,,İkinci El,Boş,850 TL,34.000 TL,Doğalgaz,Evet,15.000TL,"Kuzey, Batı",Evet (Site Adı Belirtilmemiş),Uygun değil,Kat Mülkiyeti,Hayır
3676-6675,28-03-2023,None,None,5 + 1,                          220 m2                        ,5. Kat,35 Yaşında,Kombi,5 Katlı,Eşyalı,2,,İkinci El,Boş,,,Doğalgaz,Evet,40.000TL,,,,,
134999-90,28-03-2023,None,None,2 + 1,                          85 m2                        ,Bahçe Katı,4 Yaşında,Kombi,4 Katlı,Eşyalı,1,Betonarme,İkinci El,Boş,50 TL,11.000 TL,Doğalgaz,Evet,10.000TL,"Kuzey, Güney",,,,
2312-23072,31-03-2023,None,None,3 + 1,                          120 m2                        ,12. Kat,Sıfır Bina,Merkezi (Pay Ölçer),14 Katlı,Eşyalı Değil,2,Betonarme,Sıfır,Boş,400 TL,80.000 TL,Doğalgaz,Evet,40.000TL,"Güney, Doğu, Batı",,,,
120955-209,31-03-2023,None,None,2 + 1,                          130 m2                        ,3. Kat,40 Yaşında,Merkezi,4 Katlı,,1,Betonarme,İkinci El,Boş,100 TL,30.000 TL,Doğalgaz,Evet,16.000TL,Güney,,,,
72542-3392,31-03-2023,None,None,3 + 1,                          200 m2                        ,2. Kat,26 Yaşında,Kombi,6 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,,40.000 TL,Doğalgaz,Evet,20.000TL,"Güney, Doğu",,,,
18825-2448,01-04-2023,None,None,3 + 1,                          130 m2                        ,Çatı Katı,23 Yaşında,Kombi,4 Katlı,Eşyalı,2,Betonarme,İkinci El,Boş,50 TL,18.000 TL,Doğalgaz,Evet,14.500TL,"Kuzey, Güney, Doğu, Batı",,,,
